ID,Levels,ParentID,CompanyID,Code,Name,Remark,IsMachineType,IsSpecs,speed,combCount,MachineWidth,factWidth,ALLPinCount,factPinCount,Power,HasSysDefine,HasDefault,HasUse,HasStop,Stoper,StopDate,StopMemo,HasCheck,Checker,CheckTime,Writer,WriteTime,Modifier,ModifyTime,RuleChildID,MachineKG,DayUrnCount,Coefficient,JBMachineType,ProgramID,DyeRate
1005001014,0,1005001,4,RS014,亚机染机40K,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,108468,2014-02-16 08:03:35.000,108468,2014-02-21 11:19:27.000,NULL,40.00,4.00,1.00,NULL,NULL,1.00
1005001015,0,1005001,4,RS015,亚机染机150KG,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,108468,2014-02-16 08:04:51.000,108468,2014-02-16 17:46:24.000,NULL,150.00,3.00,1.00,NULL,NULL,1.00
1005001016,0,1005001,4,RS016,亚机染机250KG,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,108468,2014-02-16 17:47:38.000,108468,2014-02-21 11:19:38.000,NULL,250.00,3.00,1.00,NULL,NULL,1.00
1005001017,0,1005001,4,RS017,亚机染机100KG,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,108468,2014-02-16 17:52:44.000,108468,2014-02-21 11:19:44.000,NULL,100.00,3.00,1.00,NULL,NULL,1.00
1005001018,0,1005001,4,RS018,亚机染机1000KG,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,108468,2014-02-17 08:32:43.000,108468,2014-02-21 11:19:50.000,NULL,1000.00,3.00,1.00,NULL,NULL,1.00
1006,1,1,3,006,打卷机,NULL,1,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,101858,2006-11-29 15:36:33.000,administrator,2007-08-14 10:04:52.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1007,1,1,3,007,包装机,NULL,0,1,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,101858,2006-12-09 14:38:10.000,277493,2018-11-14 18:00:20.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1007001,0,1007,4,007001,32,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,108468,2010-07-16 14:12:58.000,NULL,NULL,NULL,3.00,NULL,NULL,NULL,NULL,NULL
1008,1,1,4,009,固定资产,NULL,1,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,110174,2007-09-27 17:41:23.000,12735,2006-12-12 15:31:52.000,110174,2007-09-27 17:41:23.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1008001,0,1008,4,CF,厂房,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,110174,2007-09-27 16:26:03.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1008002,0,1008,4,PT,盘头,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,110174,2007-09-27 16:27:01.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1008003,0,1008,4,LK,链块,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,110174,2007-09-27 16:27:20.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1008004,0,1008,4,KT,空调,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,110174,2007-09-27 16:27:45.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1008005,0,1008,4,XC,行车,NULL,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,110174,2007-09-27 16:27:56.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
